-------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  0.210667832358113705D+01 |  0.576938169319278060D+01 |  0.155602504603050651D+01 |  0.149531766717941816D+01 |  0.139309240691709668D+01 |  0.429244423818715930D+02 | 
|  0.297279414839420664D+00 |  0.147538628348460898D+01 |  0.880827453805768767D+00 |  0.296455126791248524D-01 |  0.297818907857738679D-01 |  0.551527773140008293D+01 | 
|  0.729809757661272762D-01 |  0.643240675372910076D+00 |  0.497278723840655523D+00 |  0.178517059163763037D-02 |  0.181372288674452875D-02 |  0.133622641827690103D+01 | 
|  0.181623411348925679D-01 |  0.300974869694802027D+00 |  0.264650187425016448D+00 |  0.110537075519001604D-03 |  0.112624433690200476D-03 |  0.331446308605926276D+00 | 
|  0.725435101810223415D-03 |  0.571401674547820093D-01 |  0.556892972511615625D-01 |  0.176331683920949445D-06 |  0.179822540857799140D-06 |  0.132246133224214191D-01 | 
|  0.181350510684907817D-03 |  0.283864098154604783D-01 |  0.280237087940906626D-01 |  0.110196882729951540D-07 |  0.112307336763706189D-07 |  0.330589364349975767D-02 | 
|  0.725391467870650786D-05 |  0.564811814123133971D-02 |  0.563361031187392669D-02 |  0.176187953115913842D-10 |  0.242312836462588166D-09 |  0.132221651632846715D-03 | 
|  0.181347774441675824D-05 |  0.282224328422708837D-02 |  0.281861632873825485D-02 |  0.117816867373221612D-11 |  0.584631010269731632D-09 |  0.340779362559828769D-04 | 
|  0.725392399480995209D-07 |  0.564158353409727198D-03 |  0.564013274929830999D-03 |  0.426325641456060112D-13 |  0.258236987349391711D-07 |  0.109806967742542838D-03 | 
|  0.181355361839052875D-07 |  0.282061041233294674D-03 |  0.282024770160926863D-03 |  0.152322598978571477D-11 |  0.122043028127905018D-06 |  0.498385026361347627D-03 | 
|  0.710585368324245792D-09 |  0.564092883941214041D-04 |  0.564078672233847556D-04 |  0.166107128052317421D-10 |  0.706760488355939742D-06 |  0.330348076311928196D+00 | 
|  0.332636140853992401D-10 |  0.564095441335510372D-05 |  0.564102094058327452D-05 |  0.610191897010281536D-10 |  0.397981566134575360D-03 |  0.674988410661339344D+02 | 
|  0.976953185016782299D-09 |  0.563016343324562740D-06 |  0.564970249694596305D-06 |  0.125450894117307143D-08 |  0.101771960413756801D-01 |  0.110978779001119285D+06 | 
|  0.568438496273415694D-08 |  0.722977664402435494D-07 |  0.609289965147752355D-07 |  0.938512823012160879D-08 |  0.352125751141842969D+01 |  0.111022345985977039D+09 | 
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  0.272001595122968309D+01 |  0.272001595122968309D+01 |  0.272001595122968309D+01 |  0.272001595122968309D+01 |  0.112817161502503218D+02 |  0.435234613963817409D+02 | 
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------
