  -133.000000     -  -108.599998       1.00000000    
  -108.599998     -  -84.1999969       0.00000000    
  -84.1999969     -  -59.7999954       0.00000000    
  -59.7999954     -  -35.3999939       2.00000000    
  -35.3999939     -  -10.9999943       0.00000000    
  -10.9999943     -   13.4000053       0.00000000    
   13.4000053     -   37.8000031       1.00000000    
   37.8000031     -   62.2000046       1.00000000    
   62.2000046     -   86.6000061       1.00000000    
   86.6000061     -   111.000008       4.00000000    
